index,ingredients,output,changelog
322,"Mechanically Separated Chicken, Pork, Water, Corn Syrup, Salt, Modified Food Starch, Flavoring, Sodium Lactate, Dextrose, Sodium Diacetate, Sodium Erythorbate, Sodium Phosphates, Sodium Nitrite, Sugar, Hydrolyzed Soy and Corn Protein, Monosodium Glutamate","mechanically separated chicken, pork, water, corn syrup, salt, modified food starch, flavoring, sodium lactate, dextrose, sodium diacetate, sodium erythorbate, sodium phosphate, sodium nitrite, sugar, hydrolyzed soy and corn protein, monosodium glutamate",- sodium phosphates → sodium phosphate (singular)
323,"Filling: Butternut Squash, Bread Crumbs (Wheat Flour, Natural Yeast, Salt), Butter, Amaretti Biscuits (Sugar, Sweet Apricot Kernels, Dried Egg White, Lactose, Whey Power [Milk Protein], Baking Soda), Salt. Pasta: Soft Wheat Flour, Liquid Whole Egg, Durum Wheat Semolina","filling: butternut squash, bread crumb (wheat flour, natural yeast, salt), butter, amaretti biscuit (sugar, sweet apricot kernel, dried egg white, lactose, whey powder (milk protein), baking soda), salt, pasta: soft wheat flour, liquid whole egg, durum wheat semolina","- bread crumbs → bread crumb (singular)
- amaretti biscuits → amaretti biscuit (singular)
- sweet apricot kernels → sweet apricot kernel (singular)
- whey power → whey powder (95%)"
324,"Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural & Artificial Flavors, Natural Constituents of Orange, Ester of Wood Rosin, Sodium Benzoate, Fd&C Yellow #6, Fd&C Yellow #5","carbonated water, high fructose corn syrup, citric acid, natural & artificial flavor, natural constituent of orange, ester of wood rosin, sodium benzoate, fdc yellow 6, fdc yellow 5","- natural & artificial flavors → natural & artificial flavor (singular)
- natural constituents of orange → natural constituent of orange (singular)
- fd&c yellow 6 → fdc yellow 6 (96%)
- fd&c yellow 5 → fdc yellow 5 (96%)"
325,"Filtered Water, High Fructose Corn Syrup, Citric Acid, Natural & Artificial Flavors, Sodium Benzoate, (Preserves Freshness) and Caramel Color","filtered water, high fructose corn syrup, citric acid, natural & artificial flavor, sodium benzoate (preserve freshness), and caramel color","- natural & artificial flavors → natural & artificial flavor (singular)
- preserves freshness → preserve freshness (singular)"
326,"Filtered Water, High Fructose Corn Syrup, Caramel Color, Sodium Benzoate, (Preserves Freshness) Natural & Artificial Flavors, Citric Acid","filtered water, high fructose corn syrup, caramel color, sodium benzoate (preserve freshness), natural & artificial flavor, citric acid","- preserves freshness → preserve freshness (singular)
- natural & artificial flavors → natural & artificial flavor (singular)"
327,"Organic Stone Ground Blue Corn with A Trace of Lime, Organic Vegetable Oil (Canola And/Or Sunflower And/Or Safflower Oil), Sea Salt","organic stone ground blue corn with a trace of lime, organic vegetable oil (canola and/or sunflower and/or safflower oil), sea salt",
328,"Distilled Vinegar, Water, Mustard Seed, Salt, Spices, Turmeric (Spice and Color)","distilled vinegar, water, mustard seed, salt, spice, turmeric (spice and color)",- spices → spice (singular)
329,"Corn, Sugar, Glucose Syrup (Wheat And/Or Corn), Barley Malt, Salt. Vitamins: Vitamin C (Ascorbic Acid), Niacin (Nicotinamide), Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B2 (Riboflavin), Vitamin B1 (Thiamine Mononitrate), Vitamin A (Retinyl Acetate), Folic Acid, Vitamin B12 (Cyanocobalamin), Vitamin D (Cholecalciferol), Sodium Ascorbate (As An Antioxidant)","corn, sugar, glucose syrup (wheat and/or corn), barley malt, salt, vitamins: vitamin c (ascorbic acid), niacin (nicotinamide), vitamin b6 (pyridoxine hydrochloride), vitamin b2 (riboflavin), vitamin b1 (thiamine mononitrate), vitamin a (retinyl acetate), folic acid, vitamin b12 (cyanocobalamin), vitamin d (cholecalciferol), sodium ascorbate (as an antioxidant)",
330,"Mechanically Separated Chicken, Pork, Water, Corn Syrup, Salt, Modified Food Starch, Flavoring, Sodium Lactate, Dextrose, Sodium Diacetate, Sodium Erythorbate, Sodium Phosphates, Sodium Nitrite, Sugar, Hydrolyzed Soy and Corn Protein, Monosodium Glutamate","mechanically separated chicken, pork, water, corn syrup, salt, modified food starch, flavoring, sodium lactate, dextrose, sodium diacetate, sodium erythorbate, sodium phosphate, sodium nitrite, sugar, hydrolyzed soy and corn protein, monosodium glutamate",- sodium phosphates → sodium phosphate (singular)
331,"Potatoes, Vegetable Oil (Soybean or Canola), Salt, Dextrose, Citric Acid","potato, vegetable oil (soybean or canola), salt, dextrose, citric acid",- potatoes → potato (singular)
332,"Unbleached Enriched Flour [Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Water, Whole Wheat Flour, Multigrain Blend (Flax Seeds, Oat Bran, Wheat Bran, Millet, Rolled Oats, Rye Meal, Sunflower Seeds, Rye Middlings, Organic Spelt Flour, Malted Barley Flour), Sunflower Oil, Cornstarch, Honey, Yeast, Oat Fiber, Wheat Bran, Wheat Gluten, Fermented Rye Flour, Sea Salt, Natural Flavor, Olive Oil, Dry Molasses Powder (Molasses, Wheat Starch), Dough Conditioner (Wheat Starch, Ascorbic Acid), Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Cornstarch, Monocalcium Phosphate)","unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, whole wheat flour, multigrain blend (flaxseed, oat bran, wheat bran, millet, rolled oat, rye meal, sunflower seed, rye middling, organic spelt flour, malted barley flour), sunflower oil, corn starch, honey, yeast, oat fiber, wheat bran, wheat gluten, fermented rye flour, sea salt, natural flavor, olive oil, dry molasses powder (molasses, wheat starch), dough conditioner (wheat starch, ascorbic acid), baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate)","- flax seeds → flax seed (singular)
- flax seed → flaxseed (94%)
- rolled oats → rolled oat (singular)
- sunflower seeds → sunflower seed (singular)
- rye middlings → rye middling (singular)
- cornstarch → corn starch (95%)
- cornstarch → corn starch (95%)"
333,"Filtered Water, Portabella Mushrooms, Natural Mushrooms Flavor Base (Mushrooms, Unsalted Butter [Milk], Natural Mushroom Concentrate [Maltodextrin], Citric Acid), Modified Potato Starch, Cream Powder, Wheat Flour, Sea Salt","filtered water, portabella mushroom, natural mushroom flavor base (mushroom, unsalted butter (milk), natural mushroom concentrate (maltodextrin), citric acid), modified potato starch, cream powder, wheat flour, sea salt","- portabella mushrooms → portabella mushroom (singular)
- natural mushrooms flavor base → natural mushroom flavor base (singular)
- mushrooms → mushroom (singular)"
334,"Mechanically Separated Chicken, Pork, Water, Salt, Corn Syrup, Modified Food Starch, Flavoring, Sodium Lactate, Dextrose, Garlic Powder, Sodium Diacetate, Sodium Erythorbate, Sodium Phosphates, Sodium Nitrite","mechanically separated chicken, pork, water, salt, corn syrup, modified food starch, flavoring, sodium lactate, dextrose, garlic powder, sodium diacetate, sodium erythorbate, sodium phosphate, sodium nitrite",- sodium phosphates → sodium phosphate (singular)
335,"Salt, Spices, Paprika, Sugar, Garlic, Onion","salt, spice, paprika, sugar, garlic, onion",- spices → spice (singular)
336,"Bittersweet Chocolate (Sugar, Chocolate Liquor, Cocoa Butter, Natural Vanilla Flavor, Soy Lecithin [Emulsifier]), Cane Sugar, Coconut Oil, Non Fat Milk Powder, Cocoa, Maltodextrin (Corn), Natural Mint Flavor, Tricalcium Phosphate, Guar Gum, Sodium Caseinate (A Milk Derivative), Mono- and Diglycerides, Dipotassium Phosphate, Silicon Dioxide, Salt","bittersweet chocolate (sugar, chocolate liquor, cocoa butter, natural vanilla flavor, soy lecithin (emulsifier)), cane sugar, coconut oil, nonfat milk powder, cocoa, maltodextrin (corn), natural mint flavor, tricalcium phosphate, guar gum, sodium caseinate (milk derivative), mono and diglycerides, dipotassium phosphate, silicon dioxide, salt","- non fat milk powder → nonfat milk powder (97%)
- a milk derivative → milk derivative (94%)
- mono- and diglycerides → mono and diglycerides (98%)"
337,"Pasta (Durum Wheat Semolina [Enriched with Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid], Water, Powdered Egg White), Water, Ricotta Cheese (Whey, Milk, Bacterial Culture, Salt, Citric Acid), Beef, Pork, Low Moisture Partly Skimmed Mozzarella Cheese (Partly Skimmed Milk, Bacterial Culture, Salt, Calcium Chloride, Microbial Enzymes), Crushed Tomatoes, Diced Tomatoes (Tomatoes, Tomato Juice, Citric Acid, Calcium Chloride), Onions, Vinegar, Modified Cornstarch, Skim Milk Powder, Lipase, Rennet, Salt), Salt, Flavor Base (Salt, Autolysed Yeast Extract, Sugar, Maltodextrin, Soya Protein Concentrate, Onion Powder, Caramel, Carrot Powder, Garlic Powder, Spices, Flavor, Beef, Beef Fat, Beef Stock, Soya Lecithin, Xanthan Gum), Garlic, Sugar, Parmesan Cheese (Milk, Salt, Lipase, Calcium Chloride, Microbial Enzymes, Bacterial Culture), Spices, Autolysed Yeast Extract, Crushed Red Chili Peppers, Dried Parsley","pasta (durum wheat semolina (enriched with niacin, iron, thiamin mononitrate, riboflavin, folic acid), water, powdered egg white), water, ricotta cheese (whey, milk, bacterial culture, salt, citric acid), beef, pork, low moisture partly skimmed mozzarella cheese (partly skimmed milk, bacterial culture, salt, calcium chloride, microbial enzymes), crushed tomatoes, diced tomatoes (tomatoes, tomato juice, citric acid, calcium chloride), onions, vinegar, modified cornstarch, skim milk powder, lipase, rennet, salt), salt, flavor base (salt, autolysed yeast extract, sugar, maltodextrin, soya protein concentrate, onion powder, caramel, carrot powder, garlic powder, spices, flavor, beef, beef fat, beef stock, soya lecithin, xanthan gum), garlic, sugar, parmesan cheese (milk, salt, lipase, calcium chloride, microbial enzymes, bacterial culture), spices, autolysed yeast extract, crushed red chili peppers, dried parsley",UNBALANCED PARENTHESES
338,"Bananas, Coconut Oil, Sugar, Natural Banana Flavor","banana, coconut oil, sugar, natural banana flavor",- bananas → banana (singular)
339,"Cultured Low Fat Buttermilk (Lowfat Milk, Salt, Culture), Unbleached Wheat Flour, Cane Sugar, Sunflower Seeds, Raisins, Flax Seed, Millet, Baking Soda, Sea Salt, Dried Rosemary, Black Pepper","cultured lowfat buttermilk (lowfat milk, salt, culture), unbleached wheat flour, cane sugar, sunflower seed, raisin, flaxseed, millet, baking soda, sea salt, dried rosemary, black pepper","- cultured low fat buttermilk → cultured lowfat buttermilk (98%)
- sunflower seeds → sunflower seed (singular)
- raisins → raisin (singular)
- flax seed → flaxseed (94%)"
340,"Bananas, Chocolate (Cocoa Butter, Cane Sugar, Chocolate Liquor, Soy Lecithin, Palm Oil)","banana, chocolate (cocoa butter, cane sugar, chocolate liquor, soy lecithin, palm oil)",- bananas → banana (singular)
341,"Potatoes, Olive Oil, Salt","potato, olive oil, salt",- potatoes → potato (singular)
342,"Seaweed, Expeller Pressed Canola Oil, Wasabi Seasoning (Maltodextrin, Salt, Modified Cornstarch, Mustard Oil), Sesame Oil, Sugar, Sea Salt","seaweed, expeller pressed canola oil, wasabi seasoning (maltodextrin, salt, modified corn starch, mustard oil), sesame oil, sugar, sea salt",- modified cornstarch → modified corn starch (97%)
343,"Paprika Flakes, Sea Salt, Garlic, Basil","paprika flake, sea salt, garlic, basil",- paprika flakes → paprika flake (singular)
344,"Turkey, Sugar, Water, Soy Sauce (Water, Wheat, Soybean, Salt), Pineapple Juice Concentrate, Apple Cider Vinegar, Salt, Flavorings, Paprika, Natural Smoke Flavoring, Caramel Color","turkey, sugar, water, soy sauce (water, wheat, soybean, salt), pineapple juice concentrate, apple cider vinegar, salt, flavoring, paprika, natural smoke flavoring, caramel color",- flavorings → flavoring (singular)
345,"Buffalo, Sugar, Water, Soy Sauce (Water, Wheat, Soybeans, Salt, Flavorings, Apple Cider Vinegar, Salt, Paprika, Natural Smoke Flavoring","buffalo, sugar, water, soy sauce (water, wheat, soybeans, salt, flavorings, apple cider vinegar, salt, paprika, natural smoke flavoring",UNBALANCED PARENTHESES
346,"Filtered Water, Coconut Cream, Tricalcium Phosphate, Carrageenan, Gellan Gum, Sea Salt, Natural Flavors, Vitamin A Palmitate, Ergocalciferol (Vitamin D2), Cyanocobalamin (Vitamin B12)","filtered water, coconut cream, tricalcium phosphate, carrageenan, gellan gum, sea salt, natural flavor, vitamin a palmitate, ergocalciferol (vitamin d2), cyanocobalamin (vitamin b12)",- natural flavors → natural flavor (singular)
347,Organic Virgin Coconut Oil,organic virgin coconut oil,
348,Organic Coconut Palm Sugar,organic coconut palm sugar,
349,100% Raw Organic Wild Honey,100% raw organic wild honey,
350,"Water, Habanero Chilis, Vinegar, Onion, Sugar, Garlic, Salt, Sunflower Oil, Xanthan Gum","water, habanero chili, vinegar, onion, sugar, garlic, salt, sunflower oil, xanthan gum",- habanero chilis → habanero chili (singular)
351,"Sugar, Cream (Cream, Carrageenan), Sweetened Condensed Milk (Whole Milk, Sugar), Glucose (Tapioca), Butter (Cream, Salt), Chocolate Liquor, Cocoa Powder, Water, Cultured Dextrose (Maltodextrin [Color], Cultured Dextrose [For Freshness]), Salt","sugar, cream (cream, carrageenan), sweetened condensed milk (whole milk, sugar), glucose (tapioca), butter (cream, salt), chocolate liquor, cocoa powder, water, cultured dextrose (maltodextrin (color), cultured dextrose (for freshness)), salt",
352,Organic Tricolor Quinoa,organic tricolor quinoa,
353,"Whole Grain Flour (Wheat, Quinoa, Spelt, Millet and Kamut), Enriched Wheat Flour (Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Sunflower Oil, Whole Flaxseed, Salt, Sugar","whole grain flour (wheat, quinoa, spelt, millet and kamut), enriched wheat flour (flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sunflower oil, whole flaxseed, salt, sugar",
354,"Dark Chocolate (Chocolate Liquor [Processed with Alkali], Sugar, Cocoa Butter, Cocoa Powder, Soy Lecithin, Natural Extract), Dry Roasted Almonds, Turbinado Sugar, Sea Salt","dark chocolate (chocolate liquor (processed with alkali), sugar, cocoa butter, cocoa powder, soy lecithin, natural extract), dry roasted almond, turbinado sugar, sea salt",- dry roasted almonds → dry roasted almond (singular)
355,Extra Virgin Olive Oil,extra virgin olive oil,
356,"Rice Vinegar (Made From Rice), Diluted with Water to 4.2% Acidity (42 Grain)","rice vinegar (made from rice), diluted with water to 4.2% acidity (42 grain)",
357,"Filtered Water, Coconut Oil, Mid-Oleic Sunflower Oil, Soy Protein Concentrate, Cornstarch, Sea Salt, Tricalcium Phosphate, Natural Flavors, Xanthan Gum, Locust Bean Gum, Guar Gum, Vegan Culture, Lactic Acid (Non-Dairy)","filtered water, coconut oil, mid-oleic sunflower oil, soy protein concentrate, corn starch, sea salt, tricalcium phosphate, natural flavor, xanthan gum, locust bean gum, guar gum, vegan culture, lactic acid (non-dairy)","- cornstarch → corn starch (95%)
- natural flavors → natural flavor (singular)"
358,"Organic Coconut Base (Water, Organic Coconut Cream), Calcium Phosphate, Magnesium Phosphate, Guar Gum, Xanthan Gum, Vitamin A Acetate, Vitamin D2, L-Selenomethionine (Selenium), Zinc Oxide, Folic Acid, Vitamin B12","organic coconut base (water, organic coconut cream), calcium phosphate, magnesium phosphate, guar gum, xanthan gum, vitamin a acetate, vitamin d2, l selenomethionine (selenium), zinc oxide, folic acid, vitamin b12",- l-selenomethionine → l selenomethionine (94%)
